hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,score_1,score_2,score_3,score_4,score_5,score_6,score_7,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,trans_7,zscore_1,zscore_2,zscore_3,zscore_4,zscore_5,zscore_6,zscore_7,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
008562870c16a4c0e9b380f7f2220e5b,JOHNIE CHARLES,US,27,43.0,26.0,46.0,26.0,25.0,21.0,51.0,29:38.87,32 rep,CAP+18,265.0 lb,03:21.63,13:15.03,05:16.65,-1778.87,32.0,-2790.494084084084,265.0,-201.63,-795.03,-316.65,0.40574383551023535,0.27468939818606736,-0.4906752915202081,-0.05957554687344858,0.18903288360928425,0.2418702194448837,-1.5862201670376916,1.0,0.8890316515058965,0.7425838416943424
ce137f54487df300dfb3a3b0a14ec7a8,MARCELLO CLARIZIO,CA,20,57.0,11.0,44.0,40.0,30.0,22.0,43.0,CAP+9,40 rep,CAP+15,255.0 lb,03:26.66,13:46.97,04:54.97,-4222.491538461539,40.0,-3348.592900900901,255.0,-206.66,-826.97,-294.97,-0.26622129968909686,0.8397647315974058,-0.763128817281504,-0.5957554687344979,-0.1629593824217993,0.23994525889048873,-0.6567529788566823,1.0,0.8890316515058965,0.6940162291493699
af2bb24caa533fa2aa6db1229f23504f,NICOLAS GAUDREAU,CA,26,30.0,29.0,50.0,45.0,34.0,17.0,32.0,27:09.79,29 rep,CAP+24,245.0 lb,03:28.30,13:03.97,04:46.81,-1629.79,29.0,-2092.870563063063,245.0,-208.3,-783.97,-286.81,0.4467389572092304,0.06278614815681542,-0.15010838431858836,-1.1319353905955474,-0.2777242564359111,0.24253678374455834,-0.3069166202055256,1.0,0.8890316515058965,0.7297998282994724
37477104cbe0b20e82f67e39c2c7a489,LEE SHARUM,US,25,59.0,31.0,39.0,35.0,38.0,19.0,23.0,CAP+11,29 rep,CAP+5,260.0 lb,03:32.97,13:13.75,04:33.58,-3454.765804195804,29.0,-10045.778702702704,260.0,-212.97,-793.75,-273.58,-0.05510639555927274,0.06278614815681542,-4.032571126417054,-0.32766550780397324,-0.6045242330492621,0.24194736251030716,0.26028129951932677,1.0,0.8890316515058965,0.252624158271166
4bdf997d9c586178706ababc1aa93a72,BEN SEXTON,US,26,8.0,54.0,36.0,47.0,44.0,51.0,26.0,24:12.73,0 rep,16:55.66,245 lb,03:37.38,CAP+76,04:38.78,-1452.73,0.0,-1015.66,245.0,-217.38,-1169.340271381579,-278.78,0.4954282263803068,-1.9856119354592867,0.3757659000380715,-1.1319353905955474,-0.9131297784164741,0.21931128057467678,0.03734636508476729,1.0,0.8890316515058965,0.47434231830682705
df95d35666fb05e7c3c9d0a1850aaea0,JACOB HEART,US,24,28.0,44.0,26.0,46.0,37.0,37.0,33.0,27:00.18,21 rep,16:07.66,245.0 lb,03:31.95,CAP+12,04:47.35,-1620.18,21.0,-967.66,245.0,-211.95,-7405.8217187499995,-287.35,0.4493815861301275,-0.502289185254523,0.39919861274499463,-1.1319353905955474,-0.5331460796990217,-0.1565491071648391,-0.3300675557045,1.0,0.8890316515058965,0.6311163487139951
d9e93a6dc68db926920ccb4095d1f481,KYLE BAUGHMAN,US,30,16.0,55.0,30.0,28.0,36.0,54.0,48.0,25:36.35,0 rep,16:28.37,265.0 lb,03:29.69,CAP+98,05:09.15,-1536.35,0.0,-988.37,265.0,-209.69,-906.8353125,-309.15,0.4724337799322926,-1.9856119354592867,0.3890883735749867,-0.05957554687344858,-0.37499448502104055,0.23513193465044724,-1.264679396218615,1.0,0.8890316515058965,0.5192877550180873
1a48728a38cf462bba536f179c0cf42d,ANTHONY VORACHAK,US,34,29.0,42.0,31.0,30.0,46.0,26.0,52.0,27:04.89,21 rep,16:37.11,265.0 lb,03:38.15,14:15.50,05:17.41,-1624.89,21.0,-997.11,265.0,-218.15,-855.5,-317.41,0.44808639547274715,-0.502289185254523,0.38482166713626775,-0.05957554687344858,-0.9670132863377342,0.2382258122838235,-1.61880296514736,1.0,0.8890316515058965,0.592382064545864
1ecc112c0e6a065df0dc585113533535,CAL BAUER,US,30,46.0,55.0,14.0,41.0,35.0,45.0,35.0,CAP+2,0 rep,14:10.22,255.0 lb,03:29.31,CAP+70,04:49.47,-19001.21192307692,0.0,-850.22,255.0,-209.31,-1269.5694374999998,-289.47,-4.330183204188208,-1.9856119354592867,0.45653064983459984,-0.5957554687344979,-0.3484026239689908,0.21327066720029172,-0.42095641358935926,1.0,0.8890316515058965,-0.11255525262345367
f36121b6adb46de0d61027effbbeae5f,JASON RAY,US,28,55.0,46.0,13.0,44.0,32.0,34.0,50.0,CAP+8,20 rep,14:04.32,245.0 lb,03:27.97,CAP+1,05:14.37,-4750.30298076923,20.0,-844.32,245.0,-207.97,-88869.860625,-314.37,-0.4113627962783506,-0.5729236019309404,0.4594109207714925,-1.1319353905955474,-0.2546313244696562,-5.066225422012266,-1.4884717727086936,1.0,0.8890316515058965,-0.3204168323832408
