hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,rank_5,score_1,score_2,score_3,score_4,score_5,trans_1,trans_2,trans_3,trans_4,trans_5,zscore_1,zscore_2,zscore_3,zscore_4,zscore_5,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
95227a98b704e46b059a0f01764c896f,NICOLAS GRADILLA OCHOA,MX,,2,1,5,3,1,243,48,186,87,10:34,243.0,48.0,186.0,87.0,-634.0,0.42415674466480824,2.0054642336508595,-1.3661024355066698,0.4657758209531867,1.5462256042406484,0.4472135954999579,0.9900474631267736,1.265130331711266
286863ac0a534f2daf625d69de5cd0bc,YAMIL BELLO ALBARRAN,MX,,3,2,3,5,4,238,37,220,82,CAP +128,238.0,37.0,220.0,82.0,-706.40625,0.06059382066640177,0.19230478952816427,0.4673508331996495,0.09805806756909166,-0.42572024299346284,0.4472135954999579,0.9900474631267736,1.0251615358580335
f68ce118da3168ecad66b96a6648c464,LEO SWANSON,SE,,1,5,2,1,6,261,30,227,91,CAP +121,261.0,30.0,227.0,91.0,-747.2727272727273,1.7329832710590716,-0.9615239476408236,0.8448265061685976,0.7599500236604627,-1.5386970944260627,0.4472135954999579,0.9900474631267736,1.064959207067378
471533bee05e7f172ee8180fb4cc1d1f,FABIAN BERGDAHL,SE,,4,4,1,4,3,237,34,232,84,CAP +132,237.0,34.0,232.0,84.0,-685.0,-0.012118764133279527,-0.3021932406871163,1.1144519868607032,0.2451451689227297,0.15726763156647078,0.4472135954999579,0.9900474631267736,1.0976070538574736
c526c6fa7545fbc6980bf2db578f1ae8,ALEXIS GAMACHE,CA,,6,3,4,6,2,216,36,217,51,CAP +137,216.0,36.0,217.0,51.0,-660.0,-1.5390830449265867,0.027472112789737418,0.30557554478438603,-2.1817920034122977,0.8381293828773421,0.4472135954999579,0.9900474631267736,0.7619955404174911
a9adfa2ec3a3a720cbcc3a03bf14a14b,LUDOVIC SIROIS,CA,,5,5,5,2,5,228,30,186,89,CAP +127,228.0,30.0,186.0,89.0,-711.9685039370079,-0.6665320273304112,-0.9615239476408236,-1.3661024355066698,0.6128629223068247,-0.5772052812649419,0.4472135954999579,0.9900474631267736,0.7254311098489985
